,parent,text,label
0,I also feel its important for StuRat to have his proper say on the proposed guidelines. He has not been able to so far as hes busy defending himself. Im sure that if Stu Rat has a part to play in the guidelines then he will have some ownerhip of them and is likely to resplct them (as I will have to since I have rewritten a large part of them)',"BTW, I see no ""attack"" here. What I see is something I might describe as ""a group of editors discussing problematic editing, and asking for a change in behavior"". It's seeing this as an ""attack"" and making things into a personal battle that is the 'problem' here. More of the same is 'not the solution'.",0
1,"A main reason this project was started was to 'reduce' the amount of templates/boilerplates used out there so people didn't get all confused over what the hell this one template is trying to tell me, and at what level.",I realise... I just want to urge caution and a thought to the impact when using templates. - //WRE),0
2,"I'd go for that. (By the way, not all deletionists are cut out of the same block. ) )","I should have stressed that this should be a time period that people are actually notified about for a specific article, not a ""this random article has been sitting unreferenced for two months so I can kill it now.""",0
3,"(edit conflict with Piotrus) I agree with the shortening. My opinion is that the SS content of the current section must be the result of a consensus among the interested editors. I hope that after Lysy's intervention the editors will have the chance to focus on the other problems of the article, in order to keep GA status and, possibly, to go for FA promotion.",Thanks to Lysy for shortening and copy editing. Concur with Yannismarou's comments.,0
4,"The larger box displays fine in Mozilla Firefox. If you have trouble with another browser, reveal what it is - or fix it yourself without deleting other people's work. If you have display problems in Mozilla Firefox, then you need to adjust your computer settings.","I like the additional info in the info box. It displays fine in IE as well. There are slight formatting problems, but nothing that cannot be dealt with by asking a graphics guru to come by and help. By the way, both of you have now reverted three times, so let's let this one settle a bit for others to comment.",0
5,"I disgree, Feminazi is a clear instance of hate speech, though he doesnt use it any more. But if one replaced liberal with Jew in Rush's moronic diatribes, it would be all-too-clear how similar to Joseph Goebbels he is.","This last statement is absolutely meaningless. If you take anything that Al Franken said about ""Rush Limbaugh"" and replace him with ""Rosa Parks"" it would be all-too-clear how similar to David Dukes Mr Franken is.",0
6,"Nope, and I think we should remove it...",That's what I thought. Just checking before I went ahead and removed it. ',0
7,"No discussion on this? We need a non-self-referential source, i.e. Luther himself is an not adequate citation for 'many scholars characterize these writings as anti-Semitic.' I'm inclined to move the above # to a {{fact}} ...",There was a reference to this before. One from the subsection itself should serve.,0
8,Or how about a simple ' 'unattributed' '? This would flag unattributed opinions to editors and readers alike. And it's short. -,"I've been bold. I've changed the text to 'attribution needed', in keeping with 'citation needed'. -",0
9,"Hi, Deborahjay; I thought I'd butt in and say that I find WP:CITET useful for adding refs; I just copy the relevant citation type and paste it into the article, and fill out the fields.","Many thanks, — your intervention (particularly timely here/now as is on a Wikibreak) is always welcome by me! I'll follow that link and am looking forward to putting my new skills to good use (and, should I run into difficulties, shall seek you out for further advice). ' '",0
10,"Ok if you work on ""with"" I'll have a go with ""on"" ), I was surprised how few repeated words there are in wikipedia, considering how big it is. Cheers,","Don't be silly; this has been done before, maybe in November. They probably found loads more mistakes. See Template talk:Active Wiki Fixup Projects.",1
11,"My error, I didn't mean to suggest foul play. And do I tend to think that others are as clueless finding their way about as I am,..","No problem. Do you think that I should leave the discussion in both places (it seems hardly worth it in this case, but it would be useful to know in case I do it again where it matters)), or delete one? If so, which?",0
12,Please check . Do you by any chanse know there the image came from?,"Quite honestly, I don't see a point in investigating where the image came from. Even if Fisss claims he's the author, I won't trust him. He has uploaded hundreds of images with not just missing, but deliberatly falsified licenses. At this point I think it's safe to assume that every image he uploads is stolen unless there's a clear indication that it's legit.",0
13,"It was a really silly opening, and to think that it's acceptable to put up for a FA is ... annoying.",Silly is a big understatement.,0
14,"The references and Material you cut and paste from your references web sites are copy right protected and it is against the policy of Wikipedia Copy right policies, e.g. ""© Copyright Anti-Ahmadiyya Movement in Islam, All rights reserved "" is one of your reference site that you edited in Mirza Ghulam Ahmad Artical. Pls see the copy right policies of Wikipedia","Beautiful, this is what I wanted to hear. I don't have to comment on this, as your understanding of intellectual property and its use is clearly reflected from this statement. You have just slain the whole world of reference and citations. Please don't remove your statement as it would be used for further references.",0
15,"Hi, I'm a few days behind. Had a very bad cold this week. The standard place to report suspected sockpuppets is WP:SSP.","I suspect the new editor was finally intimidated enough by personal attacks and allegations to leave (who can blame them). Another one bites the dust, I guess. ' '",0
16,See Talk:Faith Lehane#Faith's Last Name (same applies for both Faith and Kendra),"This really deserves to be mentioned explicitly in the main article. I've added a ""Triva"" item to that effect.",0
17,"This is not spamming, this is perfectly valid. I am not advertising anything.",Woops sorry at exactly the same time a spammer was advertising his blog on the same article ). I didn't follow your link. But why are you removing the school's official website to put an other one instead?,0
18,'Oppose'. Assassination in Sarajevo is more commonplace.,"I always hear about ""Archduke Ferdinand"" while the location is mentioned only afterward. Sometimes the location isn't mentioned at all. I'm referring to history books, documentaries, and such.",0
19,"You might need to visit a library and get some real data; the text is full of &*^%$ I'm not a citizen of Istanbul, just familiarity, so I did not feel like correcting.","University's library will be a good choice. After finals, I will scan the article to find the weak points so I can borrow books from library according to my findings. See you,",0
20,"And remember when Steve McQueen was in action he had a whistle and a smile. Plus, you get to ride the motorbike at the end!",Not in the cooler he didnt (,0
21,"...that famous Manhattan, New York landmark 'Nuyorican Poets Cafe' began in in the apartment living room of one of its co-founders? (self nom; characters)",Can the article say WHY this place is famous? ++: /,0
22,"Keep tryingthe more you learn about the subject, the more you will be able to contribute to the article. Start with the notable Barrington residents, by reading the articles about them.-",I filed an informal request for comment at WP:RS. - //WRE),0
23,"It follows from the fact that , and .",P.S. See also for information on how to differentiate with respect to a vector.,0
